"geneName","LFC","FDR"
"IGSF21","0.9862","0.003255"
"LSAMP","-0.6195","0.003255"
"DNER","-1.202","0.003274"
"PEBP1","0.8274","0.003274"
"MYL12B","1.018","0.003279"
"HNRNPU-AS1","0.9879","0.003340"
"FAM65B","-1.202","0.003344"
"ZER1","-1.292","0.003378"
"NAV2","-1.089","0.003378"
"SORCS3","-1.307","0.003428"
"PDE4DIP","0.7454","0.003440"
"SCUBE2","0.9060","0.003505"
"GPC1","-1.267","0.003520"
"ARMC9","0.9287","0.003523"
"PLCL2","0.9526","0.003541"
"ATP5G3","1.011","0.003565"
"BAIAP2L1","0.9673","0.003618"
"RBP7","0.6924","0.003722"
"PRELID2","-1.314","0.003727"
"RUNDC3B","0.9159","0.003727"
"PRKAR2B","-1.170","0.003760"
"KCTD9","0.8565","0.003807"
"DDX5","0.8791","0.003844"
"LMBRD1","0.9208","0.003877"
"SHC2","-1.159","0.003936"
"CDH13","-1.239","0.004149"
"NRG4","0.8658","0.004159"
"NRCAM","-1.058","0.004191"
"RP11-127B20.3","0.7535","0.004278"
"KIAA1211","-1.298","0.004285"
"GPM6A","0.6586","0.004288"
"FLT1","0.7346","0.004364"
"CADPS","-0.8988","0.004406"
"COG2","0.8228","0.004433"
"FTX","-0.7982","0.004438"
"AATK","-1.257","0.004451"
"MPPED1","-1.189","0.004451"
"ART3","0.7000","0.004451"
"RBFOX1","0.5199","0.004491"
"SEL1L3","0.9423","0.004688"
"RPLP0","0.9576","0.004755"
"MYT1L","-0.9097","0.004755"
"NUTM2B-AS1","0.9462","0.004817"
"TOX","-1.251","0.004918"
"UTP18","0.8649","0.004946"
"MCTP1","0.7551","0.005021"
"MYO16","-1.284","0.005225"
"AC072062.1","0.8537","0.005295"
"LIN7A","0.9024","0.005319"
"NAPA","0.9856","0.005454"
"KCTD8","0.8485","0.005543"
"CSTF3","0.9692","0.005566"
"ZFR2","-1.109","0.005567"
"ATG4C","0.9624","0.005575"
"DOCK10","-1.215","0.005705"
"JAKMIP1","-1.089","0.005739"
"ASXL3","-1.091","0.005884"
"RP11-39M21.1","0.7868","0.005951"
"GABRB2","0.7119","0.005987"
"FGFR1","0.9351","0.005988"
"NBPF9","0.8066","0.005997"
"VDAC2","0.8640","0.006069"
"POLR2B","0.9635","0.006187"
"SNCA","0.8584","0.006227"
"AMT","0.9189","0.006229"
"PDE3A","0.6924","0.006322"
"RP11-150D5.2","0.7341","0.006345"
"SORBS2","-1.178","0.006361"
"RAC1","0.9084","0.006437"
"STARD13","-1.142","0.006472"
"ZNF207","0.9600","0.006554"
"HRH3","-1.091","0.006565"
"SHANK3","0.9251","0.006665"
"FNBP1","0.8885","0.006741"
"MPP6","-1.124","0.006757"
"MZT1","0.8640","0.006762"
"RNF157","-1.093","0.007024"
"RP11-33A14.1","0.5558","0.007159"
"DLG2","-0.5850","0.007165"
"UNC80","0.7249","0.007180"
"PTPRK","-1.266","0.007191"
"CTB-107G13.1","0.7183","0.007191"
"PTPRR","0.8437","0.007227"
"TSC22D3","0.8926","0.007351"
